State,Metric,ARIMA_Params,AIC,BIC,LogLikelihood,NumObs,InSample_MAE,InSample_RMSE,InSample_MAPE,Is_Stationary
Illinois,% meeting 1,"(3, 0, 2)",-8.425080863502188,-11.159015476463486,11.212540431751094,5,0.11397986910023121,0.16875898610183648,0.11817858109365965,False
Illinois,% meeting 3,"(3, 1, 3)",14.0,9.704060527839234,0.0,5,53.98,54.07851699150042,100.0,False
Illinois,% meeting 6,"(3, 1, 0)",18.573139627646807,16.11831707212637,-5.286569813823403,5,12.138513647112282,23.17844960495787,23.75702398741419,False
Indiana,% meeting 1,"(3, 0, 3)",-11.478119669795031,-14.60261637032223,13.739059834897516,5,0.14478820148983118,0.22170811764055107,0.1505450948997354,False
Indiana,% meeting 3,"(2, 2, 0)",10.637970187875336,7.933807053879664,-2.3189850939376675,5,19.317209957043865,30.12059490264099,31.72749098190576,False
Indiana,% meeting 6,"(3, 0, 3)",23.347144491378643,20.222647790851443,-3.6735722456893205,5,2.49768001283267,4.169223797719297,5.316629193673065,False
Iowa,% meeting 1,"(3, 0, 2)",-0.7669869955482298,-3.500921608509527,7.383493497774115,5,0.27161043844684796,0.3569446981533724,0.28304667677206574,False
Iowa,% meeting 3,"(2, 2, 0)",15.884156941259892,13.179993807264221,-4.942078470629946,5,21.197540945012925,29.2019958459783,44.971912358111396,False
Iowa,% meeting 6,"(2, 2, 0)",18.719785216397966,16.015622082402295,-6.359892608198984,5,17.657977827194788,22.413236556602453,45.78767884747316,False
Kansas,% meeting 1,"(3, 0, 0)",1.9001557840600274,-0.05265465376947098,4.049922107969986,5,0.24327405584736256,0.32904176977478505,0.25065668181905376,True
Kansas,% meeting 3,"(0, 2, 0)",26.605618787269073,25.704231075937184,-12.302809393634536,5,24.540644929235555,30.72999887952949,40.73053989143813,False
Kansas,% meeting 6,"(2, 2, 0)",18.39046582847879,15.686302694483118,-6.195232914239394,5,24.349208554957325,32.89320498919115,37.61295609751531,False
Kentucky,% meeting 1,"(3, 1, 0)",13.073732765070643,10.618910209550204,-2.5368663825353215,5,20.00377679846718,43.17739246107278,20.749140375537365,False
Kentucky,% meeting 3,"(2, 2, 0)",16.47413083216944,13.769967698173769,-5.23706541608472,5,19.53493204689388,26.953456217688444,35.833758587457666,False
Kentucky,% meeting 6,"(2, 2, 0)",19.128807437486223,16.424644303490552,-6.564403718743112,5,21.074493944526647,26.951441405412282,inf,True
Louisiana,% meeting 1,"(3, 0, 1)",1.0558196559924262,-1.2875528694029725,5.472090172003787,5,0.19418503463282377,0.24995470606999262,0.20221274966023703,False
Louisiana,% meeting 3,"(1, 2, 0)",33.11964241646607,31.31686699380229,-14.559821208233036,5,43.25657052884375,49.808214561403716,145.7615909709305,False
Louisiana,% meeting 6,"(2, 2, 0)",16.30796626111509,13.60380312711942,-5.153983130557545,5,22.97466844783085,30.618421813400712,45.91405978074558,True
Maine,% meeting 1,"(3, 0, 2)",1.4185182198030475,-1.3154163931582499,6.290740890098476,5,0.3469735922923178,0.4644432602269034,0.36213434264871946,False
Maine,% meeting 3,"(0, 2, 0)",21.047968993395145,20.146581282063256,-9.523984496697572,5,19.210092616348497,27.932660947971872,33.71544225848246,False
